c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
3;0.02;40000;1;5000;548376488;0;0.01;0.9;0;40000;0.14792;0.54134;0.0046222;0.0050755;0.3602;./hpcbatch_16_08_2017_230103/core_99/sim_hd_17_8_2017_091728_547675902
5;0.02;40000;1;5000;741071693;0;0.01;0.1;0;40000;0.35326;0.81227;0.0070039;0.0031688;0.2398;./hpcbatch_16_08_2017_230103/core_132/sim_hd_17_8_2017_092613_728084971
5;0.02;40000;1;5000;696746405;0.7;0.01;0.9;0;40000;0.34826;0.82066;0.0033833;0.0028776;0.2146;./hpcbatch_16_08_2017_230103/core_227/sim_hd_17_8_2017_102428_696414918
3;0.02;40000;1;5000;704896522;0.1;0.01;0.3;0;40000;0.44057;0.66933;0.0033476;0.021542;0.3458;./hpcbatch_16_08_2017_230103/core_34/sim_hd_17_8_2017_082728_704554069
3;0.02;40000;1;5000;693707982;1;0.01;0.6;0;40000;0.47797;0.74786;0.0029453;0.020929;0.2972;./hpcbatch_16_08_2017_230103/core_76/sim_hd_17_8_2017_084228_693354166
5;0.02;40000;1;5000;576305583;0.6;0.01;0;0;40000;0.063042;0.73492;0.0036205;0.0055066;0.22;./hpcbatch_16_08_2017_230103/core_127/sim_hd_17_8_2017_092428_575882514
5;0.02;40000;1;5000;800702820;0;0.01;0.2;0;40000;0.17506;0.75908;0.0022861;0.0022513;0.232;./hpcbatch_16_08_2017_230103/core_143/sim_hd_17_8_2017_092913_800370378
3;0.02;40000;1;5000;686997353;0.5;0.01;1;0;40000;0.40317;0.70801;0.0035497;0.016783;0.3158;./hpcbatch_16_08_2017_230103/core_115/sim_hd_17_8_2017_092143_686642591
5;0.02;40000;1;5000;598855116;0.4;0.01;0.2;0;40000;0.17767;0.76262;0.0032999;0.0041379;0.2246;./hpcbatch_16_08_2017_230103/core_147/sim_hd_17_8_2017_093013_598510617
3;0.02;40000;1;5000;690257997;0.4;0.01;0.3;0;40000;0.43872;0.72684;0.0031646;0.0082085;0.3286;./hpcbatch_16_08_2017_230103/core_37/sim_hd_17_8_2017_082758_689927633
3;0.02;40000;1;5000;600677594;0.6;0.01;1;0;40000;0.67717;0.82511;0.0015705;0.011056;0.3256;./hpcbatch_16_08_2017_230103/core_116/sim_hd_17_8_2017_092213_600362616
3;0.02;40000;1;5000;777498166;0.8;0.01;0.8;0;40000;0.36942;0.64214;0.0019525;0.016391;0.3512;./hpcbatch_16_08_2017_230103/core_96/sim_hd_17_8_2017_091658_777092024
3;0.02;40000;1;5000;758240223;0.9;0.01;0.6;0;40000;0.40774;0.70689;0.0039954;0.0089649;0.3316;./hpcbatch_16_08_2017_230103/core_75/sim_hd_17_8_2017_084013_757895081
